schema_version,dataset_kind,product_commit,session_id,role,accessibility_mode,task_code,outcome,duration_seconds,error_count,critical_incident_count,session_scope_comprehension_correct,confidence_rating,issue_code
1.1,synthetic,5f97a4945498e79246c647dcfe4b8ea73fe683fe,SYN-R01,coi_reviewer,standard,T04_REVIEW_CORRECT,unassisted,240,1,0,true,4,none
1.1,synthetic,5f97a4945498e79246c647dcfe4b8ea73fe683fe,SYN-R01,coi_reviewer,standard,T05_EXPLAIN_FINDING,unassisted,180,0,0,true,5,none
1.1,synthetic,5f97a4945498e79246c647dcfe4b8ea73fe683fe,SYN-R01,coi_reviewer,standard,T06_DECIDE_EXCEPTION,unassisted,300,1,0,true,4,none
1.1,synthetic,5f97a4945498e79246c647dcfe4b8ea73fe683fe,SYN-R02,coi_reviewer,keyboard_only,T05_EXPLAIN_FINDING,unassisted,190,0,0,true,5,none
1.1,synthetic,5f97a4945498e79246c647dcfe4b8ea73fe683fe,SYN-R02,coi_reviewer,keyboard_only,T06_DECIDE_EXCEPTION,assisted,350,2,0,true,3,exception_workflow
1.1,synthetic,5f97a4945498e79246c647dcfe4b8ea73fe683fe,SYN-R02,coi_reviewer,keyboard_only,T04_REVIEW_CORRECT,unassisted,260,1,0,true,4,none
1.1,synthetic,5f97a4945498e79246c647dcfe4b8ea73fe683fe,SYN-R03,coi_reviewer,keyboard_only,T06_DECIDE_EXCEPTION,unassisted,300,1,0,true,4,none
1.1,synthetic,5f97a4945498e79246c647dcfe4b8ea73fe683fe,SYN-R03,coi_reviewer,keyboard_only,T04_REVIEW_CORRECT,assisted,320,2,0,true,3,document_review
1.1,synthetic,5f97a4945498e79246c647dcfe4b8ea73fe683fe,SYN-R03,coi_reviewer,keyboard_only,T05_EXPLAIN_FINDING,unassisted,210,0,0,true,4,none
1.1,synthetic,5f97a4945498e79246c647dcfe4b8ea73fe683fe,SYN-R04,coi_reviewer,magnification,T04_REVIEW_CORRECT,unassisted,280,1,0,true,4,none
1.1,synthetic,5f97a4945498e79246c647dcfe4b8ea73fe683fe,SYN-R04,coi_reviewer,magnification,T06_DECIDE_EXCEPTION,unassisted,310,1,0,true,4,none
1.1,synthetic,5f97a4945498e79246c647dcfe4b8ea73fe683fe,SYN-R04,coi_reviewer,magnification,T05_EXPLAIN_FINDING,unassisted,200,1,0,true,4,none
1.1,synthetic,5f97a4945498e79246c647dcfe4b8ea73fe683fe,SYN-R05,coi_reviewer,screen_reader,T05_EXPLAIN_FINDING,not_completed,360,3,1,false,2,status_comprehension
1.1,synthetic,5f97a4945498e79246c647dcfe4b8ea73fe683fe,SYN-R05,coi_reviewer,screen_reader,T04_REVIEW_CORRECT,not_completed,600,3,1,false,2,assistive_technology
1.1,synthetic,5f97a4945498e79246c647dcfe4b8ea73fe683fe,SYN-R05,coi_reviewer,screen_reader,T06_DECIDE_EXCEPTION,assisted,420,2,0,false,3,exception_workflow
1.1,synthetic,5f97a4945498e79246c647dcfe4b8ea73fe683fe,SYN-M01,procurement_manager,standard,T01_CREATE_REQUIREMENTS,unassisted,300,1,0,true,4,none
1.1,synthetic,5f97a4945498e79246c647dcfe4b8ea73fe683fe,SYN-M01,procurement_manager,standard,T02_CREATE_VENDOR_LINK,unassisted,150,0,0,true,5,none
1.1,synthetic,5f97a4945498e79246c647dcfe4b8ea73fe683fe,SYN-M01,procurement_manager,standard,T06_DECIDE_EXCEPTION,unassisted,290,1,0,true,4,none
1.1,synthetic,5f97a4945498e79246c647dcfe4b8ea73fe683fe,SYN-M01,procurement_manager,standard,T07_EXPORT_STATUS,unassisted,180,0,0,true,4,none
1.1,synthetic,5f97a4945498e79246c647dcfe4b8ea73fe683fe,SYN-M01,procurement_manager,standard,T08_RENEWAL_REMINDER,unassisted,220,1,0,true,4,none
1.1,synthetic,5f97a4945498e79246c647dcfe4b8ea73fe683fe,SYN-M02,procurement_manager,keyboard_only,T02_CREATE_VENDOR_LINK,assisted,240,2,0,true,3,navigation
1.1,synthetic,5f97a4945498e79246c647dcfe4b8ea73fe683fe,SYN-M02,procurement_manager,keyboard_only,T06_DECIDE_EXCEPTION,unassisted,320,1,0,true,4,none
1.1,synthetic,5f97a4945498e79246c647dcfe4b8ea73fe683fe,SYN-M02,procurement_manager,keyboard_only,T07_EXPORT_STATUS,unassisted,210,1,0,true,4,none
